player	pos	team	owner
J.P. Arencibia	Tor	C	FA
Colby Rasmus	Tor	OF	FA
Zack Cozart	Cin	SS	FA
Drew Stubbs	Cle	OF	FA
Jean Segura	Mil	SS	FA
Leonys Martin	Tex	OF	FA
Jarrod Saltalamacchia	Bos	C	FA
Garrett Jones	Pit	1B,OF	FA
Chris Young	Oak	OF	FA
Tyler Colvin	Col	1B,OF	FA
Jedd Gyorko	SD	3B	FA
Adam Lind	Tor	1B	FA
Chris Carter	Hou	1B	FA
Denard Span	Was	OF	FA
Justin Smoak	Sea	1B	FA
Trevor Plouffe	Min	3B,OF	FA
Ryan Ludwick	Cin	OF	FA
Jurickson Profar	Tex	Util	FA
Michael Saunders	Sea	OF	FA
Jon Jay	StL	OF	FA
Omar Infante	Det	2B	FA
Mark Reynolds	Cle	1B,3B	FA
Russell Martin	Pit	C	FA
Yonder Alonso	SD	1B	FA
Kelly Johnson	TB	2B	FA
Logan Morrison	Mia	1B,OF	FA
Lonnie Chisenhall	Cle	3B	FA
Jhonny Peralta	Det	SS	FA
Billy Hamilton	Cin	SS	FA
Juan Francisco	Atl	3B	FA
Matt Carpenter	StL	1B,3B,OF	FA
Tyler Greene	Hou	2B,SS	FA
Daniel Murphy	NYM	1B,2B	FA
Yunel Escobar	TB	SS	FA
Stephen Drew	Bos	SS	FA
Nate McLouth	Bal	OF	FA
Welington Castillo	ChC	C	FA
Hiroyuki Nakajima	Oak	SS	FA
Carlos Pena	Hou	1B	FA
Chris Parmelee	Min	1B,OF	FA
Michael Brantley	Cle	OF	FA
Nolan Arenado	Col	3B	FA
Peter Bourjos	LAA	OF	FA
Clayton Kershaw	LAD	SP	I Have AIDs
Justin Verlander	Det	SP	Life &amp; Times of Bill
Stephen Strasburg	Was	SP	I Have AIDs
David Price	TB	SP	8===D Tation
Felix Hernandez	Sea	SP	Honey Badgers
Matt Cain	SF	SP	Life &amp; Times of Bill
Cole Hamels	Phi	SP	Life &amp; Times of Bill
Cliff Lee	Phi	SP	Life &amp; Times of Bill
Adam Wainwright	StL	SP	FA
Yu Darvish	Tex	SP	Brace Land
Madison Bumgarner	SF	SP	8===D Tation
Jered Weaver	LAA	SP	Mammy's Dumplings
Craig Kimbrel	Atl	RP	David Estes' Testes
CC Sabathia	NYY	SP	FA
R.A. Dickey	Tor	SP	Khal Drogo
Chris Sale	CWS	SP	RIP Ralph Cifaretto
Gio Gonzalez	Was	SP	(P)IMP
Zack Greinke	LAD	SP	8===D Tation
Mat Latos	Cin	SP	David Estes' Testes
Aroldis Chapman	Cin	RP	(P)IMP
Kris Medlen	Atl	SP,RP	(P)IMP
Johnny Cueto	Cin	SP	David Estes' Testes
Max Scherzer	Det	SP	Khal Drogo
